Id,Name,Cost
PNSXVSDYLRHQDRMRKPYEIJZOKP,Flour,0.01
MKASTAHLDCVDKEBXNHBWHAQDGQ,Milk,0.10
GCAFTRXOEUYAOQJRKYHKQTBTQW,Butter,0.07
AKJTQHAVXJMHGGNHIRINUHNWUC,Cheese,0.2
HYAPFJACWQRJREUSPGGTJTTJTH,Fried Chicken Piece,3.25
MNBESJDPUVJMFAVGHIKJPCDSIU,Chicken Tender,0.78
MYFXACQQMLLQOUCRXLOPQECUDZ,Macaroni,0.03
EGSRKQOCXFOPYKYTRVSZBIQRGU,Chocolate Mousse,0.23
MQTSGYOFDDFMAIONMYLYRBUMGM,Chocolate Sauce,0.04
RKDOEMSOARVWZMHDZMXEHAFQMY,Sesame Seeds,1.25
QQNSBUEFYAPSQGCZJJAOJUIGJU,Burger Sauce,0.45
TAHKXUKPKKVXUYQZFPHBTILKPL,Salad Leaves,0.05
DHLXNLISZRXYLSJTDBDZDQKBDI,Garlic Mayo,0.45
JWEJCGEIAMYSZQFJXBZOYWDJKK,Frozen Chips,0.10
LXDHGCJMBXTWYOTJHSVOLYWUYN,Bacon Lardons,0.67